UPC,ISRC,Store,Store service,Sales/streams,Gross Royalties (USD)
672985093942,CALVP2068437,YouTube,Streaming,120,0.8273924430676951499628400329
672985702912,CAHQJ2106266,Tidal,Tidal,16,0.0904931425543875970828605614
628810560813,QM24S1906868,YouTube,Streaming,11652,55.6887181351910592779558365761
672985799073,CAHQJ2165143,Kuwo,Streaming,1,0.0021585154289220902136202828
628810612284,CAGOO1984027,Tidal,Tidal,295,1.6701235521806219140138410517
672985722880,CAHQJ2117718,Anghami,Streaming,1598,1.8520359722135448389420640280
692531080790,CAGOO2132230,YouTube,Content ID,473,0.5406694859759298455426577338
672985382008,CAENV2037366,VKontakte,VKontakte,1121,0.1854362796779536001091176137
628810560813,QM24S1906868,OK.ru,OK.ru,16,0.0035571768109694991187839808
628810534401,QM24S1831517,MediaNet,Streaming,30,0.0598868817848468062636238772
672985678217,CAHQJ2016754,BOOM App UMA,BOOM App UMA,51,0.0650252159448373987847248259
628810528974,CAGOO1942139,Amazon,Music Premium Service,20523,66.9583342498383925770115179555
672985581159,CAGOO2057827,Kugou,Streaming,7,0.0010461295180283950515053680
672985637429,CAGOO2091608,Resso,Streaming,42,0.0470642814008568713011446889
672985954885,CAENV2139579,BOOM App UMA,BOOM App UMA,19,0.0289317933235930015945326598
,CAGOO2068468,ITunes,Apple Music,1577,6.6201960746070211804952837501
672985020382,CALVP2025588,Anghami,Streaming,204,0.1172509750285266511374148650
628810742264,CAHQJ1951349,GooglePlay,Google Play Locker,92,0.0305676268965583412372668141
628810612284,CAGOO1984027,TikTok,Streaming,53,0.0881019677368804290961900412
628810561599,QM24S1916116,Rhapsody,Streaming,1,0.0054404570895762235625076717
672985770416,CAHQJ2147168,YouTube,Streaming,5583,38.8456696061391444502412773093
,CAGOO2106771,ITunes,iTunes Store,9,6.5650285766921234043521673911
628810560875,QM24S1904071,Kugou,Streaming,8,0.0056671679780362459665501454
628810528974,CAGOO1942139,KKBox,Kkbox,215,0.9856591591222876421687356787
672985183742,CACWV2018984,Deezer,Deezer,1656,6.1498253541216809938101970055
672985954885,CAENV2164647,VKontakte,VKontakte,70,0.0219772142909130002997294775
672985020382,CALVP2025588,Spotify,Spotify,483737,1119.4957904038979040654117273341
672985093942,CALVP2068437,Netease,Netease,42,0.0065132986790697634060706347
628810561513,QM24S1915972,Anghami,Streaming,60,0.0304939170789962552362658672
672985102477,CALVP2073075,Yandex,Streaming,216,0.1747967702575302512371807418
672985383128,CAENV2038021,Deezer,Deezer,254,0.8589052856787210354600317640
628810561513,QM24S1915972,Kuwo,Streaming,74,0.0448086002240131955449348489
672985631182,USLZJ1888276,BOOM App UMA,BOOM App UMA,2723870,3229.4110502419286903895172227852
672985581159,CAGOO2057827,YouTube,Streaming,2631,18.3367487433963172652235491080
672985382947,CAENV2037872,Kuwo,Streaming,1,0.0001521332065661061050354316
672985609693,CAGOO2074915,Anghami,Streaming,9,0.0091817516510541145996377203
672985545014,CAGOO2036067,TDC Play Musik,Streaming,5,0.0297269172397948820773440207
672985491366,CAGOO2006319,IMusica,Streaming,1,0.0038994944158882081781692929
672985491366,CAGOO2006319,VKontakte,VKontakte,67216,11.6134118934695190251886390984
628810561513,QM24S1915972,Spotify,Spotify,63270,174.4345964121551779096133743970
672985383128,CAENV2038021,Tidal,Tidal,95,0.4681907801833251757677667638
628810561513,QM24S1915972,SoundtrackYourBrand,Streaming,9,0.0073518200573823261569580153
672985581159,CAGOO2057827,TikTok,Streaming,2,0.0024146621615997198433568610
628810742264,CAHQJ1951349,GooglePlay,Google Play Download Store,1,0.6746096397632821646704917624
628810846559,CALVP1903197,SoundtrackYourBrand,Streaming,3,0.0025725066187933866472587863
628810534333,QM24S1910617,Line,Streaming,177,0.8054893804803765846084356259
672985183742,CACWV2018984,Tidal,Tidal,67,0.2385313199507667098041147401
672985954885,CAENV2164646,Spotify,Spotify,52754,130.0182350298192032359002504738
692531160546,CAGOO2175180,Yandex,Streaming,225,0.2785683446804895304859884007
,QM24S1913190,ITunes,iTunes Store,5,3.2771885730134799481630393875
672985912496,CAENV2139579,VKontakte,VKontakte,3,0.0009336683632168031205535192
672985722880,CAHQJ2117718,IMusica,Streaming,17,0.1836831974794829203930821570
672985637429,CAGOO2091608,YouTube,Streaming,96,0.7524525115086477241560301818
628810560851,QM24S1826608,Tidal,Tidal,526,3.2570998182319236107702155135
628810943173,,Amazon,Digital Music Store,2,1.3319764241821514640991321181
672985477858,CAENV2095149,BOOM App UMA,BOOM App UMA,1133,1.2162364949412756184396124916
672985678217,CAHQJ2016754,Netease,Netease,285,0.1137085580605297289561140011
628810560813,QM24S1906868,Deezer,Deezer,372,1.8440655273933927446559780096
692531139849,CAGOO2163741,TikTok,Streaming,2,0.0038618431424787958798649134
628810742264,CAHQJ1951349,Netease,Netease,2042,0.9929996562521590338187880107
672985491366,CAGOO2006319,OK.ru,OK.ru,62,0.0193536602654469532602123665
628810560806,QM24S1832184,Amazon,Music Premium Service,45680,708.1508821767635575449913540169
672985954885,CAHQJ2165143,Netease,Netease,1,0.0001322307532844795911694945
628810933068,CALVP1946334,Kugou,Streaming,46,0.0146613927673954969455125031
672985397491,CAENV2043858,IMusica,Streaming,1,0.0040273712004517955949748769
672985183742,CACWV2018984,OK.ru,OK.ru,52,0.0088413653449915976158536678
,CALVP2073121,ITunes,iTunes Store,11,7.9140099009841597504061082045
672985020382,,Amazon,Digital Music Store,1,0.6630118445755303393379001193
628810534357,QM24S1820062,OK.ru,OK.ru,114,0.0248032999746396852147475774
628810561810,QM24S1919430,YouTube,Streaming,692,5.7113598185334061776154097496
672985370258,CAENV2030178,KKBox,Kkbox,47,0.1883259008561112187037672207
628810534401,QM24S1831517,AWA,Awa,47,0.4758688579041061738996796173
672985382008,CAENV2037366,YouTube,Streaming,1690,11.6319783145266033665196436923
628810477371,CAGOO1916989,Boomplay,Streaming,4,0.0011841423363492701645165014
672985102477,CALVP2073075,QQMusic,Streaming,6,0.0064712608384066009250257271
628810560806,QM24S1832184,SevenDigital,Download,1,0.6608458148122838877349316890
,CALVP2002252,ITunes,Apple Music,6789,45.9985302485668618560050949759
628810561810,QM24S1919430,GooglePlay,Google Play Music Streaming,91,0.3564167261933534336716376178
672985678217,CAHQJ2016754,Spotify,Spotify,51166,140.5850324905529275440194075347
672985631182,USLZJ1888276,TDC Play Musik,Streaming,1463,8.8710527517270425933201287841
672985093942,CALVP2068437,MediaNet,Streaming,1,0.0021186148889245834498912404
,CAENV2043858,ITunes,iTunes Match,20,0.0119463272449534427466328387
672985007505,CALVP2020125,VKontakte,VKontakte,28741,2.0448820825694303536814267596
628810534425,QM24S1825227,YouTube,Streaming,1643,10.5607724787536906901795718020
628810842995,CALVP1902123,Amazon,Music Premium Service,1987,34.3906057145841903054721420220
672985929517,CAENV2149514,AWA,Awa,1,0.0088403182865727465744741571
672985722880,CAHQJ2117718,Kugou,Streaming,50339,23.3583367933977773279074230954
672985261242,CACWV2063398,TikTok,Streaming,943,1.8243153323666319332980210304
672985508989,CAGOO2015895,AWA,Awa,4,0.0377143083585043061074170319
628810561858,QM24S1913190,TDC Play Musik,Streaming,209,1.3638190057493156934900950112
628810561513,QM24S1915972,TikTok,Streaming,3,0.0065878599253956067250250967
628810534357,QM24S1820062,Rhapsody,Streaming,1,0.0046865651893361918463113736
672985929517,CAENV2149514,Amazon,Music Premium Service,72,1.0100429719454299543107481645
672985799073,CAHQJ2165143,Resso,Streaming,29,0.0255779600510487685571068172
672985929517,,Amazon,Digital Music Store,1,0.7058670599184172388726577367
672985382947,CAENV2037872,Deezer,Deezer,816,3.5978035263072752669378025694
628810560806,QM24S1832184,MediaNet,Streaming,9,0.0174178683330896086222629033
628810560813,QM24S1906868,Saavn,Saavn,8,0.0137098410482889429104790957
672985477858,CAENV2095149,Deezer,Deezer,196,0.7891982989084123079257354020
672985477858,CAENV2095149,Netease,Netease,56,0.0117223305096496039863913909
672985598324,CAGOO2068468,Amazon,Music Premium Service,26,0.2738635272632149763553371076
628810629831,CAGOO1993534,QQMusic,Streaming,448,0.3724884005616727864396706701
628810629831,CAGOO1993534,Amazon,Digital Music Store,1,0.6980762455986970852261933087
672985559677,CAGOO2044001,YouTube,Streaming,1638,8.6878265263997654047171354133
,CAGOO2106771,ITunes,Apple Music,2725,20.1463777076985554167717604535
628810612284,CAGOO1984027,TDC Play Musik,Streaming,2,0.0135065749564997326322580896
672985954885,CAENV2139579,YouTube,Content ID,18,0.0151163429728777842702251584
628810560875,QM24S1904071,IMusica,Streaming,1,0.0079002204445709070105551956
628810561513,QM24S1915972,YouTube,Content ID,197,0.5465157266079909719246249868
672985637429,CAGOO2091608,AWA,Awa,1,0.0034661691588705033073393391
628810560813,QM24S1906868,Xiami,Xiami,26,0.0035783288038552539047660552
628810477371,CAGOO1916989,AWA,Awa,1,0.0110412646717962544147955752
672985261242,CACWV2063398,BOOM App UMA,BOOM App UMA,48426,52.5020458681394482342604489567
672985508989,CAGOO2015895,YouTube,Streaming,2708,18.9733944780229877311117906043
628810560851,QM24S1826608,Kuwo,Streaming,4423,2.7088050425755335392568147741
672985678217,CAHQJ2016754,Yandex,Streaming,28,0.0453783066293985305959812742
628810742141,CAHQJ1951322,YouTube,Content ID,508,1.0640700220457652906477918623
628810560851,QM24S1826608,Saavn,Saavn,1,0.0010939805947968443566385107
672985850156,CAHQJ2197917,Yandex,Streaming,2,0.0038456483044567167767914125
628810612284,CAGOO1984027,Resso,Streaming,51,0.0453087416603418588902690312
628810933068,CALVP1946334,Resso,Streaming,35,0.0351960783487241415057775547
628810909476,CALVP1934369,AWA,Awa,19,0.2055046373033599094565997095
628810477371,CAGOO1916989,Amazon,Music Premium Service,160,1.9238869035111377173080945681
672985559677,CAGOO2044001,Saavn,Saavn,2,0.0019931666559068610690448891
672985861015,CAENV2106588,IMusica,Streaming,1,0.0037599399596748225459208419
,QM24S1920887,ITunes,iTunes Match,4,0.0028784699586837326620431979
,CAHQJ2107431,ITunes,iTunes Match,26,0.0028429577539737960930155616
628810742141,CAHQJ1951322,GooglePlay,Google Play Music Streaming,428,1.7758536066721937370230632898
628810742141,CAHQJ1951322,Amazon,Music Premium Service,886,12.5155733897221280872247456693
,CACWV2200649,ITunes,Apple Music,84,0.5338261274670169264999897054
672985954885,CAENV2139579,QQMusic,Streaming,2,0.0028159248722488130919497106
628810528974,CAGOO1942139,GooglePlay,Google Play Locker,812,0.2333385389047328871561423815
628810560875,QM24S1904071,Anghami,Streaming,1,0.0004644230443683414739352727
672985812512,CAHQJ2173685,YouTube,Streaming,4549,23.4746623926450719602484206468
628810560806,QM24S1832184,Xiami,Xiami,38,0.0051607419200411149009015566
672985370258,CAENV2030178,VKontakte,VKontakte,4072,0.6094000694962095170158441341
,CAHQJ2107431,ITunes,iTunes Store,14,2.8764077374861461020336565110
628810534425,QM24S1825227,Rhapsody,Streaming,5,0.0214363791478491608986823575
672985705159,CAHQJ2107431,Pandora,Pandora,3,0.0151882348687522251265193771
628810612284,CAGOO1984027,Line,Streaming,1,0.0023067071919299897090616100
628810943173,CALVP1951456,TikTok,Streaming,12,0.0179033780100456892773655428
672985850156,CAHQJ2197917,AWA,Awa,151,1.2550913616473002491134980429
692531021106,CAGOO2100165,YouTube,Content ID,52,0.1033294840359645271804008872
628810742264,CAHQJ1951349,Resso,Streaming,53,0.0581820342719740158604765285
628810561810,QM24S1919430,IMusica,Streaming,1,0.0245997475980990955113224663
628810909476,CALVP1934369,KKBox,Kkbox,192,0.7850730947554637425916866925
628810560875,QM24S1904071,Saavn,Saavn,4,0.0056070093487274538443353464
672985631182,USLZJ1888276,SoundtrackYourBrand,Streaming,119,0.0638278082937713121138847995
628810560813,QM24S1906868,Yandex,Streaming,163,0.2792677098418857519115446205
672985929517,CAENV2149514,YouTube,Streaming,764,5.5341368668699179900742952397
,CAENV2030178,ITunes,iTunes Match,7,0.0055554153549590149003649507
672985829381,CAHQJ2184062,YouTube,Streaming,3993,24.4164277128490908616523610618
,CAENV2164647,ITunes,Apple Music,263,1.3761256118018488738570954451
628810933068,CALVP1946334,Netease,Netease,945,0.5835524163513890605378104895
672985722880,CAHQJ2117718,Xiami,Xiami,11,0.0042296683603042628054265599
628810561810,QM24S1919430,Anghami,Streaming,6,0.0225573061129153362156648534
672985581159,CAGOO2057827,Rhapsody,Streaming,2,0.0087705781484798128257784788
628810561513,QM24S1915972,Netease,Netease,1693,0.7551534481090095718988047352
692531247810,CACWV2122094,Netease,Netease,68,0.0521740808036363652281149062
672985370258,CAENV2030178,Anghami,Streaming,34,0.0322058406274315055545813218
628810534333,QM24S1910617,Amazon,Music Premium Service,477,5.9999259857243969292941351367
,CAHQJ1930439,ITunes,iTunes Store,12,6.1205056566868126780048462331
672985705159,CAHQJ2107431,TDC Play Musik,Streaming,3,0.0178535543306669621288840900
692531149893,CAGOO2169181,Tidal,Tidal,7,0.0518061430305858042328892058
672985829381,CAHQJ2184062,YouTube,Content ID,630,1.2818312792427662812379864875
672985007505,CALVP2020125,YouTube,Streaming,2757,17.1139297761412127897702455171
628810560875,QM24S1904071,Spotify,Spotify,8251,23.9340113410891221647088240651
628810965274,CALVP2002252,Amazon,Digital Music Store,1,0.5915761786002749004548610619
628810842995,CALVP1902123,GooglePlay,Google Play Locker,251,0.0770423745458025346888290826
672985382008,CAENV2037366,Line,Streaming,27,0.2698891650987450856726716276
672985007505,CALVP2020125,BOOM App UMA,BOOM App UMA,8846,8.8730209962312036046946845301
672985705159,CAHQJ2107431,Yandex,Streaming,3900,6.0485397323322687835434883282
692531064653,CAGOO2122549,Netease,Netease,20,0.0118028771971828146033746404
628810943173,CALVP1951456,Pandora,Pandora,133,0.4486145202623662147971228564
628810933068,CALVP1946334,Line,Streaming,15,0.1375232609479869338761430410
672985770416,CAHQJ2147168,YouTube,Content ID,2589,3.7015222101460811482856577643
692531080790,CAGOO2132230,TikTok,Streaming,4,0.0080509370748059322898359233
672985861015,CAENV2106588,Amazon,Music Premium Service,49,0.4563121069042160484334811631
,QM24S1826608,ITunes,Apple Music,12774,80.3166159358344968324004146897
672985069411,CALVP2053160,Line,Streaming,55,0.2806343821091150256884499313
672985453845,CAENV2080948,Rhapsody,Streaming,15,0.0623245203731045457002854276
692531080790,CAGOO2132230,Spotify,Spotify,126809,337.0141931019948764923688261046
,CAHQJ2117718,ITunes,Apple Music,108581,569.5880537710933711910262143046
628810528974,CAGOO1942139,QQMusic,Streaming,45354,24.5793426901102438020154399635
,CALVP2068437,ITunes,iTunes Match,7,0.0051121964327153781543682136
672985598324,CAGOO2068468,Pandora,Pandora,3,0.0102706662288605342010168582
628810943173,CALVP1951456,GooglePlay,Google Play Music Streaming,61,0.5009339292211235543160524379
672985397491,CAENV2043858,Deezer,Deezer,584,2.3377550364574703564335057561
672985702912,CAHQJ2106266,BOOM App UMA,BOOM App UMA,1,0.0015221621878265311848189829
628810534357,QM24S1820062,TikTok,Streaming,68,0.1119415881382575426878838526
672985397491,CAENV2043858,OK.ru,OK.ru,8,0.0012894494333165744270971635
672985702912,CAHQJ2106266,Spotify,Spotify,90201,250.6481405874929536295573868252
628810909476,CALVP1934369,Spotify,Spotify,460193,1231.6268599210981880144849629008
672985722880,CAHQJ2117718,Saavn,Saavn,1540,1.9712763936215107254785102915
,QM24S1910617,ITunes,Apple Music,9370,53.9299710691911980522022711233
672985508989,CAGOO2015895,VKontakte,VKontakte,8557,1.1189761333420835488637154814
628810560851,QM24S1826608,MediaNet,Streaming,8,0.0189025576853815484132328244
628810742264,CAHQJ1951349,Spotify,Spotify,278192,811.5754066072633385862127702002
628810561513,QM24S1915972,GooglePlay,Google Play Locker,51,0.0141206494007326729751116239
672985383128,CAENV2038021,AWA,Awa,3,0.0265830890781500680862856714
672985453845,CAENV2080948,Yandex,Streaming,11151,14.6283028650901284182893993333
628810965274,CALVP2002252,Xiami,Xiami,3,0.0003986382785338952174244523
672985581159,CAGOO2057827,YouTube,Content ID,574,6.1273744242788199499334174573
